#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
9,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,68,6,+120,2349,International Master
8,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,398,4,-3,2229,Master
7,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,218,5,+86,2232,Master
6,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,233,4,+52,2146,Master
5,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,93,5,+164,2094,Candidate Master
4,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,33,5,+329,1930,Candidate Master
3,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,101,6,+423,1601,Expert
2,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,240,5,+517,1178,Newbie
1,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,397,4,+661,661,Newbie
